date,average_tem,snow(cm)
2011/9/7,20.4,0
2011/9/8,23.6,0
2011/9/9,21.8,0
2011/9/10,19.6,0
2011/9/11,18.3,0
2011/9/12,19.3,0
2011/9/13,19.5,0
2011/9/14,19.5,0
2011/9/15,21,0
2011/9/16,24.3,0
2011/9/17,21,0
2011/9/18,16.7,0
2011/9/19,15.1,0
2011/9/20,15.7,0
2011/9/21,14.4,0
2011/9/22,14,0
2011/9/23,14.8,0
2011/9/24,15.3,0
2011/9/25,16.5,0
2011/9/26,17.6,0
2011/9/27,17.3,0
2011/9/28,17.7,0
2011/9/29,17.8,0
2011/9/30,16.3,0
2011/10/1,10.5,0
2011/10/2,8.8,0
2011/10/3,7.7,0
2011/10/4,12,0
2011/10/5,14.5,0
2011/10/6,13.5,0
2011/10/7,13.3,0
2011/10/8,13.2,0
2011/10/9,14.4,0
2011/10/10,14.4,0
2011/10/11,12,0
2011/10/12,11,0
2011/10/13,13.6,0
2011/10/14,14,0
2011/10/15,15.2,0
2011/10/16,16.7,0
2011/10/17,12.8,0
2011/10/18,7.9,0
2011/10/19,11,0
2011/10/20,11.3,0
2011/10/21,13.4,0
2011/10/22,14.5,0
2011/10/23,13.8,0
2011/10/24,11.9,0
2011/10/25,13.2,0
2011/10/26,8,0
2011/10/27,8.4,0
2011/10/28,9.6,0
2011/10/29,9.7,0
2011/10/30,11.3,0
2011/10/31,12,0
2011/11/1,10.3,0
2011/11/2,12.4,0
2011/11/3,11.2,0
2011/11/4,8.9,0
2011/11/5,9.9,0
2011/11/6,9.4,0
2011/11/7,9,0
2011/11/8,7.4,0
2011/11/9,6.1,0
2011/11/10,6.8,0
2011/11/11,8.5,0
2011/11/12,10.1,0
2011/11/13,10.9,0
2011/11/14,5.8,0
2011/11/15,2.5,0
2011/11/16,3.9,1
2011/11/17,1.8,9
2011/11/18,4.7,0
2011/11/19,10.9,0
2011/11/20,5.8,2
2011/11/21,-3.1,9
2011/11/22,-0.9,2
2011/11/23,3,0
2011/11/24,6,0
2011/11/25,0.6,0
2011/11/26,2.6,0
2011/11/27,5.5,0
2011/11/28,5.4,0
2011/11/29,5.4,0
2011/11/30,-1,9
2011/12/1,-2.6,2
2011/12/2,-2.1,3
2011/12/3,-1.6,16
2011/12/4,3.1,0
2011/12/5,0.1,7
2011/12/6,0.3,0
2011/12/7,0,0
