index,customer_id,supplied_at,volume,size
182,2261.0,2021-01-15 14:54:00,139.3,446
183,2261.0,2021-01-23 14:05:00,150.2,446
184,2261.0,2021-02-01 17:06:00,113.2,446
185,2261.0,2021-02-10 16:02:00,140.4,446
186,2261.0,2021-02-24 15:19:00,204.8,446
187,2261.0,2021-03-08 08:52:00,225.1,446
188,2261.0,2021-03-19 15:38:00,100.8,446
189,2261.0,2021-04-15 09:43:00,200.9,446
190,2261.0,2021-11-11 08:22:00,157.2,446
191,2261.0,2021-11-23 08:22:00,89.0,446
192,2261.0,2021-12-11 13:44:00,165.9,446
193,2261.0,2021-12-20 16:09:00,139.7,446
194,2261.0,2021-12-27 15:36:00,156.8,446
195,2261.0,2022-01-05 18:13:00,177.8,446
196,2261.0,2022-01-10 11:23:00,116.3,446
197,2261.0,2022-01-20 11:32:00,238.7,446
198,2261.0,2022-01-28 16:04:00,156.5,446
199,2261.0,2022-02-09 13:37:00,238.1,446
200,2261.0,2022-02-19 10:27:00,92.2,446
201,2261.0,2022-03-01 11:32:00,208.0,446
202,2381.0,2020-12-15 17:44:00,108.8,446
203,2381.0,2021-01-15 11:19:00,127.7,446
204,2381.0,2021-02-13 15:24:00,101.4,446
205,2381.0,2021-03-16 09:53:00,93.2,446
206,2381.0,2021-12-23 16:05:00,124.7,446
207,2381.0,2022-01-21 17:22:00,88.6,446
208,2401.0,2020-11-26 17:19:00,253.2,446
209,2401.0,2020-12-08 09:01:00,130.3,446
210,2401.0,2020-12-21 17:49:00,163.1,446
211,2401.0,2021-01-04 15:44:00,209.8,446
212,2401.0,2021-01-18 17:40:00,186.6,446
213,2401.0,2021-02-01 13:42:00,187.2,446
214,2401.0,2021-02-12 15:02:00,147.1,446
215,2401.0,2021-02-25 14:59:00,140.7,446
216,2401.0,2021-03-12 09:11:00,171.1,446
217,2401.0,2021-04-22 08:54:00,258.5,446
218,2401.0,2021-11-12 10:36:00,122.8,446
219,2401.0,2021-11-26 08:50:00,165.5,446
220,2401.0,2021-12-13 13:21:00,210.7,446
221,2401.0,2021-12-28 18:34:00,252.0,446
222,2401.0,2022-01-14 13:52:00,308.5,446
223,2401.0,2022-01-27 16:55:00,204.6,446
